,date,open,high,low,close,volume
0,1997-07-20,173.26,173.26,173.26,173.26,0
1,1997-07-21,173.25,173.25,173.25,173.25,0
2,1997-07-22,173.03,173.03,173.03,173.03,0
3,1997-07-23,173.03,173.03,173.03,173.03,0
4,1997-07-24,172.66,172.66,172.66,172.66,0
5,1997-07-27,173.15,173.15,173.15,173.15,0
6,1997-07-29,172.88,172.88,172.88,172.88,0
7,1997-07-30,172.12,172.12,172.12,172.12,0
8,1997-07-31,171.7,171.7,171.7,171.7,0
9,1997-08-03,171.52,171.52,171.52,171.52,0
10,1997-08-04,171.36,171.36,171.36,171.36,0
11,1997-08-05,171.16,171.16,171.16,171.16,0
12,1997-08-06,171.1,171.1,171.1,171.1,0
13,1997-08-07,171.24,171.24,171.24,171.24,0
14,1997-08-10,170.39,170.39,170.39,170.39,0
15,1997-08-11,169.38,169.38,169.38,169.38,0
16,1997-08-12,169.28,169.28,169.28,169.28,0
17,1997-08-13,169.28,169.28,169.28,169.28,0
18,1997-08-14,169.52,169.52,169.52,169.52,0
19,1997-08-17,169.57,169.57,169.57,169.57,0
20,1997-08-20,169.76,169.76,169.76,169.76,0
21,1997-08-21,169.57,169.57,169.57,169.57,0
22,1997-08-24,169.91,169.91,169.91,169.91,0
23,1997-08-26,169.57,169.57,169.57,169.57,0
24,1997-08-27,169.87,169.87,169.87,169.87,0
25,1997-08-28,169.98,169.98,169.98,169.98,0
26,1997-08-31,169.64,169.64,169.64,169.64,0
27,1997-09-01,170.13,170.13,170.13,170.13,0
28,1997-09-02,170.2,170.2,170.2,170.2,0
29,1997-09-03,168.74,168.74,168.74,168.74,0
30,1997-09-04,168.63,168.63,168.63,168.63,0
31,1997-09-07,168.49,168.49,168.49,168.49,0
32,1997-09-08,168.84,168.84,168.84,168.84,0
33,1997-09-09,169.18,169.18,169.18,169.18,0
34,1997-09-10,169.17,169.17,169.17,169.17,0
35,1997-09-11,169.99,169.99,169.99,169.99,0
36,1997-09-14,170.1,170.1,170.1,170.1,0
37,1997-09-16,170.45,170.45,170.45,170.45,0
38,1997-09-17,170.6,170.6,170.6,170.6,0
39,1997-09-18,169.67,169.67,169.67,169.67,0
40,1997-09-21,170.31,170.31,170.31,170.31,0
41,1997-09-22,170.06,170.06,170.06,170.06,0
42,1997-09-23,170.43,170.43,170.43,170.43,0
43,1997-09-24,169.96,169.96,169.96,169.96,0
44,1997-09-25,169.97,169.97,169.97,169.97,0
45,1997-09-28,170.71,170.71,170.71,170.71,0
46,1997-09-29,170.64,170.64,170.64,170.64,0
47,1997-09-30,171.23,171.23,171.23,171.23,0
48,1997-10-01,170.2,170.2,170.2,170.2,0
49,1997-10-05,169.8,169.8,169.8,169.8,0
50,1997-10-06,169.7,169.7,169.7,169.7,0
51,1997-10-07,169.68,169.68,169.68,169.68,0
52,1997-10-16,169.43,169.43,169.43,169.43,0
53,1997-10-19,169.51,169.51,169.51,169.51,0
54,1997-10-20,169.55,169.55,169.55,169.55,0
55,1997-10-21,169.29,169.29,169.29,169.29,0
56,1997-10-22,170.33,170.33,170.33,170.33,0
57,1997-10-23,171.04,171.04,171.04,171.04,0
58,1997-10-26,170.61,170.61,170.61,170.61,0
59,1997-10-27,172.96,172.96,172.96,172.96,0
60,1997-10-28,172.0,172.0,172.0,172.0,0
61,1997-10-29,173.43,173.43,173.43,173.43,0
62,1997-11-03,173.44,173.44,173.44,173.44,0
63,1997-11-04,172.68,172.68,172.68,172.68,0
64,1997-11-05,173.03,173.03,173.03,173.03,0
65,1997-11-06,172.07,172.07,172.07,172.07,0
